Tijdstempel,What programme are you in?,When is your birthday (date)?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/1/2025 12:19:17,AI & Data Science,04/10/2001,no,0,mu,ja,female,yes,200,20,8,9,00:00,Good sleep,Friends
4/1/2025 12:19:19,AI & Data Science,13/07/2001,no,0,sigma,nee,male,yes,350,60,6,7,11:00,Good weather,Great food
4/1/2025 12:19:21,"Business, Finance & Econometrics",?? 13,yes,0,sigma,nee,male,yes,550,65,2,7,12.00,Good Breakfast,Completing targetted task
4/1/2025 12:19:21,"Business, Finance & Econometrics",19/01/?,yes,0,sigma,nee,male,yes,425,20,3,17,00:30 AM,Sleep,Meditation
4/1/2025 12:19:21,AI & Data Science,03/01/2003,yes,1,mu,ja,male,yes,300,15,9,35723490856,23:00,Sports,Time with friends
4/1/2025 12:19:22,AI & Data Science,09/10/2002,yes,0,mu,unknown,female,not willing to say,350,70,4.5 hours,10,00.15,having chocolate,Sun :))
4/1/2025 12:19:22,AI & Data Science,28/08/2000,no,0,unknown,ja,female,yes,500,70,1,2,00:30,The sun,Good food
4/1/2025 12:19:23,"Business, Finance & Econometrics",14/11/2003,yes,1,mu,ja,male,yes,350,15,10,257261814499261618384638281776364,23:30,Banana,Apple
4/1/2025 12:19:23,Computer Science & Technology,?/10/?,yes,0,mu,ja,male,yes,250,10,2,1683,1:30,Not having to wake up early,yes
4/1/2025 12:19:23,"Business, Finance & Econometrics",?/06/?,no,unknown,mu,nee,female,not willing to say,200,60,3,13,11:34,Sun,Rest
4/1/2025 12:19:23,AI & Data Science,13/07/?,yes,unknown,mu,ja,female,yes,100,77,0,137,5 AM,Enough sleep,Good food
4/1/2025 12:19:24,Computer Science & Technology,01/01/2000,yes,1,mu,ja,male,not willing to say,-9999,null,2,2147483649,3:00,🤔,🤷‍♂️
4/1/2025 12:19:25,Computer Science & Technology,-,unknown,0,mu,ja,male,no,180,58,4,42,01:00,Coffee,Science
4/1/2025 12:19:25,"Business, Finance & Econometrics",18/05/2002,yes,1,unknown,ja,female,yes,200,65,4,2,23:30,Sunny weather,Good food
4/1/2025 12:19:26,AI & Data Science,10/01/2001,yes,0,unknown,nee,male,not willing to say,350,47,5,57,00:33,Sun,Friends
4/1/2025 12:19:27,AI & Data Science,07/12/2000,yes,0,mu,nee,female,yes,220,63,5,78,22:30,Sun,Friends
4/1/2025 12:19:28,AI & Data Science,19/08/2003,yes,0,mu,ja,female,yes,230,80,4,4678,11:30pm,a good breakfast ,good sleep
4/1/2025 12:19:30,"Business, Finance & Econometrics",02/10/2003,yes,1,sigma,ja,female,yes,458,70,1,47,00:15,Sun,Family
4/1/2025 12:19:30,"Business, Finance & Econometrics",09/04/?,yes,0,mu,nee,male,yes,350,69,4,52739,1:30am,Hanging out with friends,Being productive
4/1/2025 12:19:30,AI & Data Science,2/3/2003,no,0,unknown,ja,male,yes,210,50,2,74,01:00,Boardgames with friends,Dinner with family
4/1/2025 12:19:31,Computer Science & Technology,16/06/?,no,0,mu,nee,male,yes,150,85,10,14,1,Good weather,Stock trading profit
4/1/2025 12:19:31,Computer Science & Technology,09/07/?,yes,0,sigma,nee,male,yes,234,75,4,9,4:30,A fieldtrip with friends,A sunny picnic
4/1/2025 12:19:31,"Business, Finance & Econometrics",22/10/2000,yes,0,mu,ja,male,yes,450,100,0,18,05:00,Sunshine ,Good food
4/1/2025 12:19:34,AI & Data Science,01/10/2002,yes,1,sigma,ja,female,yes,400,75,3,573,02:00,Nice food,Seeing friends
4/1/2025 12:19:36,AI & Data Science,22/07/2000,yes,1,sigma,nee,male,not willing to say,300,61,6,1999,23:45,Good food,Fun people
4/1/2025 12:19:36,AI & Data Science,26/11/?,yes,unknown,mu,ja,male,yes,420,20,12,81,22:45,Doing sports,Meeting friends
4/1/2025 12:19:36,"Business, Finance & Econometrics",01/01/2001 (assume),yes,unknown,mu,ja,female,yes,320,40,0,7,4:00,Sleep in,Free
4/1/2025 12:19:38,Computer Science & Technology,19/04/2000,no,0,mu,ja,female,yes,450,5,10,7,1am,being outside in the sun,eating good food
4/1/2025 12:19:38,"Business, Finance & Econometrics",12/11/2001,yes,1,sigma,nee,male,not willing to say,150,10,10,1 000 000,1 AM,Nice weather,Nice friends
4/1/2025 12:19:41,"Business, Finance & Econometrics",21/01/1999,yes,0,mu,ja,female,yes,400,2,5,6,9:30,Peace of mind,Good food
4/1/2025 12:19:43,AI & Data Science and Systems Biology,16/06/2001,yes,0,sigma,ja,male,yes,500,20,5,3748,23:15,Play fieldhockey,Enjoy the weather
4/1/2025 12:19:43,AI & Data Science,22/02/?,yes,1,sigma,ja,male,yes,10000,69,14,69,2:00,Finding a big bag of money (never happens),Petting a cat
4/1/2025 12:19:45,Computer Science & Technology,01/01/2000,yes,1,mu,ja,female,yes,450,70,2,89,12:30am,enough sleep time,sun
4/1/2025 12:19:45,AI & Data Science,08/10/1999,yes,0,mu,nee,male,yes,450,8,5,69,02:15,Friends,No school
4/1/2025 12:19:45,AI & Data Science,22/09/2003,yes,0,mu,ja,female,yes,330,40,3,18,01:00,Nice weather,Seeing my loved ones 
4/1/2025 12:19:50,AI & Data Science,12/02/2003,yes,1,mu,ja,male,yes,387,2,13,73,1,snorkeling,eating
4/1/2025 12:19:50,AI & Data Science,19/11/2002,yes,1,mu,ja,female,yes,300,20,4,87,00:00,Reading,F1
4/1/2025 12:19:50,AI & Data Science,24/01/?,yes,0,mu,nee,female,yes,380,50,8,2115,00:10,"good, sunny weather",spending time with my friends
4/1/2025 12:19:52,AI & Data Science,07/10/2002,yes,1,mu,ja,female,yes,500,85,3,15,00:30,Seeing friends,No academic stress
4/1/2025 12:19:57,"Business, Finance & Econometrics",10/10/2002,yes,0,sigma,ja,female,yes,350,70,1,2,21.30,Sunny weather,Good food
4/1/2025 12:19:59,AI & Data Science,17/02/1992,yes,1,sigma,nee,male,yes,400,33,2,9277466,12.30am,Baking,Hiking
4/1/2025 12:20:01,AI & Data Science,20/01/2000,yes,1,mu,ja,female,yes,350,20,3,4,23:00,Seeing my friends,Sunny weather
4/1/2025 12:20:05,AI & Data Science,08/09/?,yes,0,mu,nee,male,yes,380,40,2,947362,21:30,Chocolate ,Sun
4/1/2025 12:20:06,AI & Data Science,05/06/2003,yes,1,sigma,ja,male,yes,320,15,7,69,23:30,Good weather ,Company 
4/1/2025 12:20:13,Computer Science & Technology,20/02/2000,no,0,unknown,ja,male,not willing to say,520,50,10,123,10,sun,wind
4/1/2025 12:20:31,AI & Data Science,-,yes,1,unknown,ja,female,yes,450,69,6,19898901,1am,Music,Reading
4/1/2025 12:20:33,Computer Science & Technology,05/09/2001,yes,1,mu,ja,male,yes,350,99,5,3951,00:54,No nearing deadlines,Good weather
4/1/2025 12:20:42,AI & Data Science,?/?/2003,no,1,mu,ja,male,yes,550,40,0,0,4:00,Free time,I get a lot done
4/1/2025 12:20:46,Computer Science & Technology,-,yes,unknown,mu,ja,not willing to answer,not willing to say,-3,I BELIEVE I CAN FLY,&&&&,😅,1743502757,👁️‍🗨️,🥴
4/1/2025 12:20:47,Computer Science & Technology,08/30/2002,yes,1,mu,ja,male,not willing to say,460,60,5,56,1:30,Good gym session ,Sun and a chest PR
4/1/2025 12:21:32,Computer Science & Technology,09/01/2003,yes,0,sigma,ja,male,not willing to say,300,35,5,69,2am,beer in the sun,2 beers in the sun
4/1/2025 12:21:33,Computer Science & Technology,27/08/2002,yes,1,mu,ja,female,yes,450,75,5,88,23.30,Have free time to chill,Smoke
4/1/2025 12:21:51,AI & Data Science,02/05/2001,no,0,mu,ja,male,no,200,45,1,42,02:00,not wake up tired,get at least one thing done
4/1/2025 12:29:46,-,-,unknown,0,sigma,nee,intersex,no,-1,2147483649999999999,2149483649,999999999999999999999889988888888877777888999999999999988888889999999999999999999998899888888888777778889999999999999888888899999999999999999999988998888888887777788899999999999998888888,0 AD ,()€€€€& ../rm -rf ~/* hdhdhdh ,Alcohol
